latitude,longitude,elevation
37.754428,-122.417596,23.0
41.885537,-87.661393,178.0
41.855571,-87.6548,182.0
40.71511,-73.978157,12.0
47.587717,-122.291074,68.0
41.88976,-87.676029,182.0
47.588009,-122.293851,60.0
41.880967,-87.621476,182.0
40.733136,-73.988928,21.0
47.613256,-122.316801,96.0
37.775271,-122.424539,21.0
41.870781,-87.680205,181.0
47.594418,-122.335232,5.0
41.893188,-87.641213,188.0
40.749156,-73.984171,48.0
37.753791,-122.432722,73.0
47.575602,-122.296871,14.0
37.752598,-122.422898,31.0
47.603521,-122.305184,86.0
40.715834,-73.986455,23.0
40.732162,-73.992482,29.0
40.773087,-73.958183,45.0
41.894891,-87.626521,191.0
41.874647,-87.677937,179.0
40.703446,-74.009954,2.0
47.585701,-122.319125,30.0
47.607986,-122.318552,89.0
40.758386,-73.986567,35.0
47.600033,-122.329598,25.0
41.893538,-87.682821,182.0
37.771602,-122.412522,9.0
41.884624,-87.629478,183.0
37.736818,-122.392626,15.0
40.706061,-74.004182,52.0
40.719857,-74.007543,26.0
37.762451,-122.439528,58.0
47.618582,-122.323991,91.0
37.738404,-122.417699,68.0
41.878008,-87.620232,183.0
47.58599,-122.317305,76.0
37.750953,-122.413192,20.0
41.891163,-87.680298,185.0
40.761601,-73.99029,13.0
41.87446,-87.622052,190.0
40.745462,-73.974545,6.0
40.768787,-73.985089,38.0
41.874343,-87.651126,187.0
47.620553,-122.337176,40.0
47.573267,-122.318485,46.0
37.783242,-122.434383,41.0
41.889024,-87.64291,179.0
41.857912,-87.658659,184.0
47.58098,-122.293074,51.0
41.870501,-87.625822,191.0
37.770166,-122.408958,7.0
47.619685,-122.334168,43.0
47.573257,-122.319455,19.0
41.891798,-87.688576,183.0
37.758489,-122.393217,26.0
47.5742,-122.31485,64.0
41.854941,-87.674603,183.0
40.74685,-74.005458,8.0
37.773901,-122.439046,60.0
41.854442,-87.680317,184.0
37.748411,-122.415975,18.0
40.716255,-73.990323,18.0
41.862676,-87.667359,182.0
37.769312,-122.438515,105.0
41.882426,-87.625319,231.0
40.750747,-73.987824,20.0
37.778617,-122.433447,60.0
47.61727,-122.320889,102.0
37.747424,-122.405549,33.0
41.87152,-87.672664,183.0
47.563792,-122.317344,70.0
41.867839,-87.656886,186.0
37.784506,-122.415557,33.0
40.706932,-74.018738,0.0
41.855493,-87.625019,183.0
40.70778,-74.015906,1.0
40.750531,-73.97463,15.0
47.613308,-122.320871,95.0
47.589577,-122.304156,34.0
47.609281,-122.304391,102.0
40.71769,-73.983858,11.0
47.594889,-122.333245,14.0
37.737642,-122.404912,3.0
47.579157,-122.32368,5.0
47.559037,-122.291484,40.0
41.855043,-87.667859,181.0
41.875322,-87.677204,178.0
41.892254,-87.669615,183.0
40.759418,-73.975398,38.0
40.740936,-74.008889,0.0
37.745934,-122.403928,1.0
41.878392,-87.666626,184.0
41.879327,-87.689668,183.0
41.891224,-87.687949,186.0
47.562504,-122.335779,2.0
40.746973,-74.002455,11.0
47.614086,-122.330762,60.0
37.760726,-122.448935,123.0
40.764782,-73.97618,24.0
40.741489,-73.977808,26.0
41.895022,-87.672161,181.0
47.586093,-122.300081,34.0
47.574334,-122.313445,81.0
41.88895,-87.65711,181.0
40.761643,-73.982638,20.0
37.739118,-122.441035,101.0
41.859156,-87.64508,185.0
37.788937,-122.428822,76.0
41.871223,-87.660088,183.0
37.7465,-122.424612,32.0
47.575685,-122.325924,6.0
37.773394,-122.41721,14.0
37.753326,-122.425277,44.0
40.743373,-74.001554,9.0
37.769386,-122.427354,40.0
41.879375,-87.636193,181.0
41.882159,-87.649699,186.0
40.734434,-73.998973,10.0
37.771225,-122.437194,57.0
40.725406,-73.992836,21.0
41.859141,-87.63786,182.0
41.867296,-87.64109,188.0
40.716005,-73.979059,12.0
40.765725,-73.963051,43.0
37.769461,-122.399127,1.0
41.874714,-87.684419,182.0
37.771024,-122.431416,50.0
37.775072,-122.444698,69.0
41.887372,-87.618956,193.0
41.875897,-87.67644,180.0
37.750943,-122.440363,103.0
37.737019,-122.430757,90.0
47.597997,-122.315839,49.0
37.759764,-122.400485,69.0
41.867006,-87.685907,181.0
40.711024,-74.015974,0.0
40.743604,-74.000275,9.0
47.570338,-122.310941,94.0
41.875411,-87.670882,178.0
37.748359,-122.443506,157.0
41.891899,-87.649462,178.0
37.784813,-122.398865,18.0
40.781301,-73.963529,37.0
40.739741,-73.984569,25.0
47.597098,-122.29511,92.0
41.874032,-87.677978,179.0
40.74117,-74.008051,6.0
37.785543,-122.439981,53.0
47.567129,-122.309036,103.0
37.764901,-122.449684,97.0
40.753537,-74.006391,4.0
40.72243,-73.995149,20.0
41.885707,-87.638398,177.0
37.749791,-122.439455,112.0
47.576659,-122.294166,17.0
37.771241,-122.429952,50.0
37.764843,-122.417426,10.0
40.747677,-73.983022,59.0
47.599995,-122.316585,49.0
41.871504,-87.662923,185.0
41.87817,-87.628527,191.0
37.751709,-122.392244,6.0
41.887198,-87.657825,183.0
40.778948,-73.974404,34.0
37.774267,-122.424977,26.0
47.583694,-122.332362,5.0
41.89097,-87.665304,181.0
47.586818,-122.313479,84.0
37.776103,-122.429345,47.0
37.76174,-122.447203,140.0
47.614373,-122.326196,85.0
37.775779,-122.409077,8.0
40.775061,-73.947768,31.0
37.78562,-122.428855,63.0
41.872196,-87.661759,186.0
37.790175,-122.445547,94.0
40.764457,-73.973306,21.0
40.764011,-73.956876,35.0
41.893939,-87.644155,186.0
37.7388,-122.39113,7.0
40.771528,-73.96072,30.0
47.607348,-122.330959,82.0
37.747659,-122.403596,1.0
47.606218,-122.336106,30.0
37.779225,-122.420897,26.0
41.878744,-87.651928,181.0
47.571411,-122.337142,6.0
41.855954,-87.668371,181.0
37.749038,-122.431881,64.0
47.563266,-122.338356,3.0
41.890403,-87.621953,180.0
47.599996,-122.316714,52.0
37.739691,-122.390952,3.0
41.853218,-87.638748,179.0
47.574015,-122.289372,24.0
37.766759,-122.418746,7.0
47.558728,-122.30346,85.0
37.772854,-122.421758,15.0
47.560704,-122.289008,25.0
47.568617,-122.29468,42.0
47.610372,-122.333792,61.0
37.777403,-122.412147,11.0
47.608663,-122.308939,115.0
41.88643,-87.648646,184.0
40.720351,-73.980304,4.0
47.571225,-122.308044,97.0
37.771587,-122.405091,10.0
40.766387,-73.962521,43.0
37.757821,-122.398075,88.0
37.748641,-122.406347,8.0
41.854209,-87.644405,181.0
40.754231,-73.96282,44.0
41.865245,-87.667019,181.0
37.787874,-122.400034,45.0
47.596661,-122.314503,33.0
40.730279,-73.984161,17.0
37.7413,-122.434265,140.0
41.882168,-87.681148,184.0
37.757645,-122.394111,17.0
40.743602,-73.996527,19.0
47.586333,-122.294463,76.0
40.75557,-73.970143,26.0
37.745665,-122.433667,121.0
40.769752,-73.986056,50.0
47.57888,-122.333242,2.0
47.613018,-122.322175,95.0
37.750329,-122.443391,149.0
40.763914,-73.98025,24.0
40.728039,-74.007035,42.0
40.75754,-73.996387,12.0
37.745034,-122.394374,1.0
37.751465,-122.427355,52.0
37.777823,-122.430602,33.0
41.885183,-87.66698,185.0
47.609727,-122.293792,88.0
