ExpID: 1767079549
Start Location: 199
Location: Chicago
Number of Location: 1000
StartTime: 2025-12-30 02:25:49.196288

Item: 199, Location ID: a6kwmVr230ZQNOXra18FbA_41.884443_-87.630672, lat:41.884443, long:-87.630672, alt281, time(sec): 168.4897449016571
Item: 200, Location ID: YeJA8oaFUF_Qzav1w_Mvqw_41.885885_-87.677077, lat:41.885885, long:-87.677077, alt281, time(sec): 158.4536793231964
Item: 201, Location ID: MFCWME0Yqoo0xIJ8ayPl6w_41.889988_-87.652235, lat:41.889988, long:-87.652235, alt283, time(sec): 226.4876856803894
Item: 202, Location ID: p1xjPL258WJjeLBioBwpCg_41.873921_-87.684980, lat:41.873921, long:-87.68498, alt281, time(sec): 224.41688013076782
Item: 203, Location ID: fJXk5fe4Ye4AJPcjPwi_tg_41.878357_-87.661880, lat:41.878357, long:-87.66188, alt285, time(sec): 313.4297311306
Item: 204, Location ID: A0E53-6niQ2Gt8Ne-5TR9Q_41.894658_-87.658467, lat:41.894658, long:-87.658467, alt287, time(sec): 374.40163373947144
Item: 205, Location ID: adwRQqKW_-LugpjXn5FudQ_41.889631_-87.639821, lat:41.889631, long:-87.639821, alt286, time(sec): 597.3364622592926
Item: 206, Location ID: NGZkvwLflhrnNoO9naTx7w_41.884504_-87.681189, lat:41.884504, long:-87.681189, alt285, time(sec): 407.39521980285645
Item: 207, Location ID: Awyyqi_SFbmoKNFRyAT7pA_41.885368_-87.664707, lat:41.885368, long:-87.664707, alt285, time(sec): 511.4932014942169
Item: 208, Location ID: UmSGiCK8NQ_Pyn95eNoMWA_41.878478_-87.653838, lat:41.878478, long:-87.653838, alt285, time(sec): 596.4145872592926
Item: 209, Location ID: 2ddyuf57eH6yIx5a3UVYxA_41.880693_-87.688336, lat:41.880693, long:-87.688336, alt283, time(sec): 82.5615611076355
Item: 210, Location ID: dvjg-P6LOli0ZP-r3x48Pw_41.859653_-87.664539, lat:41.859653, long:-87.664539, alt287, time(sec): 86.50303077697754
Item: 211, Location ID: a0AwSiRXTHN_5-7LP19CrA_41.873090_-87.650451, lat:41.87309, long:-87.650451, alt292, time(sec): 95.47959661483765
Item: 212, Location ID: qeqbBywSnjSXd6wvRzM0Xg_41.874985_-87.684190, lat:41.874985, long:-87.68419, alt280, time(sec): 89.6052918434143
Item: 213, Location ID: ZFaDncySgqauUxHvNTG6Eg_41.876100_-87.685736, lat:41.8761, long:-87.685736, alt281, time(sec): 89.49214124679565
Item: 214, Location ID: hh6K811NumabgfseesfbiQ_41.885195_-87.670724, lat:41.885195, long:-87.670724, alt284, time(sec): 101.47081589698792
Item: 215, Location ID: 8NfcpOsQSDtQKf4-onCW1Q_41.870735_-87.668918, lat:41.870735, long:-87.668918, alt283, time(sec): 123.31104397773743
Item: 216, Location ID: lWKFGlTHLe8rGWLlYG32Vg_41.854331_-87.637723, lat:41.854331, long:-87.637723, alt286, time(sec): 117.42170906066895
Item: 217, Location ID: N4UI5zmC3C9GjWcXYIfLlg_41.884222_-87.663334, lat:41.884222, long:-87.663334, alt285, time(sec): 145.26140522956848
Item: 218, Location ID: hDzq0TgI1VlQ55r9b1ZrpQ_41.877970_-87.659476, lat:41.87797, long:-87.659476, alt285, time(sec): 154.3786747455597
Item: 219, Location ID: 4io2djn9096s05waOkyV9g_41.864961_-87.687215, lat:41.864961, long:-87.687215, alt279, time(sec): 137.35907292366028
Item: 220, Location ID: 21WbUSjbz_sJDqKyPk42wg_41.852239_-87.622999, lat:41.852239, long:-87.622999, alt285, time(sec): 196.23214173316956
Item: 221, Location ID: SyRG3wnaxQjUEDwhfuIXEw_41.883055_-87.682229, lat:41.883055, long:-87.682229, alt285, time(sec): 175.3773548603058
Item: 222, Location ID: c0C6yWg_pJ9ZvibWg2tp9A_41.893602_-87.678165, lat:41.893602, long:-87.678165, alt280, time(sec): 201.38875007629395
Item: 223, Location ID: 6clyPraidvvyA1AUvttHcQ_41.874676_-87.626032, lat:41.874676, long:-87.626032, alt289, time(sec): 338.42512369155884
Item: 224, Location ID: nQuWvo1zsjG4630TTMyCow_41.886396_-87.620655, lat:41.886396, long:-87.620655, alt286, time(sec): 408.41084814071655
Item: 225, Location ID: ESyep55-fME1HFxIge_bYQ_41.888712_-87.632757, lat:41.888712, long:-87.632757, alt299, time(sec): 494.4206566810608
Item: 226, Location ID: OV-suq6tdjHxBvRa604Rzg_41.872425_-87.631638, lat:41.872425, long:-87.631638, alt280, time(sec): 439.38598895072937
Item: 227, Location ID: 0x_2dQSeEfXEumeVp-zs-g_41.852634_-87.676922, lat:41.852634, long:-87.676922, alt284, time(sec): 168.45094752311707
Item: 228, Location ID: t0z5CDzQJ69skYHXwKDNxA_41.866999_-87.668989, lat:41.866999, long:-87.668989, alt286, time(sec): 86.51127696037292
Item: 229, Location ID: v1gr1Xq64sjaX3FDvEZiUQ_41.881718_-87.656751, lat:41.881718, long:-87.656751, alt282, time(sec): 106.50877809524536
