ExpID: 1767266869
Start Location: 889
Location: Chicago
Number of Location: 1000
StartTime: 2026-01-01 06:27:49.627608

Item: 889, Location ID: Zbq-VZlFcrwFFvEO4mXNfA_41.874229_-87.657244, lat:41.874229, long:-87.657244, alt286, time(sec): 88.37494683265686
Item: 890, Location ID: S0ktHt61QDgZi4nJH470QA_41.886069_-87.670819, lat:41.886069, long:-87.670819, alt284, time(sec): 82.52031993865967
Item: 891, Location ID: 4XziGCt09utG4z1d6uFqXQ_41.869911_-87.654997, lat:41.869911, long:-87.654997, alt283, time(sec): 88.4954686164856
Item: 892, Location ID: 9BTsCZ1YhyYp3I55g13J8A_41.866372_-87.681116, lat:41.866372, long:-87.681116, alt295, time(sec): 81.43745183944702
Item: 893, Location ID: 9Hjktx-yqhPK2FatLB5VXQ_41.874415_-87.641363, lat:41.874415, long:-87.641363, alt280, time(sec): 92.60691523551941
Item: 894, Location ID: Gwds7n4bFUzsTPbC7VBnAQ_41.882594_-87.683318, lat:41.882594, long:-87.683318, alt287, time(sec): 81.56446576118469
Item: 895, Location ID: B-F3c25rgtUiSjSPeKTr8w_41.872161_-87.617289, lat:41.872161, long:-87.617289, alt281, time(sec): 84.39141845703125
Item: 896, Location ID: zeTfSd6CQomYE0i1N1--TQ_41.891845_-87.666351, lat:41.891845, long:-87.666351, alt282, time(sec): 88.49808859825134
Item: 897, Location ID: kAdzmPs8f1S7eDXfOD6qOA_41.854391_-87.684254, lat:41.854391, long:-87.684254, alt284, time(sec): 80.48314118385315
Item: 898, Location ID: FQqu9HjWy7KRIzmRyT_maQ_41.875186_-87.626861, lat:41.875186, long:-87.626861, alt284, time(sec): 103.43286633491516
Item: 899, Location ID: V6skEnXAzhxWNKLKvZCaUw_41.884516_-87.662174, lat:41.884516, long:-87.662174, alt285, time(sec): 87.56685614585876
Item: 900, Location ID: a5LGQ5hQnF4SoHOgnzE9ng_41.875309_-87.684274, lat:41.875309, long:-87.684274, alt277, time(sec): 81.23595595359802
Item: 901, Location ID: RtU8J4rRSKBh1LpHtFKPzw_41.883608_-87.670610, lat:41.883608, long:-87.67061, alt289, time(sec): 83.21754693984985
