ExpID: 1767431933
Start Location: 1687
Location: Chicago
Number of Location: 1000
StartTime: 2026-01-03 04:18:53.865858

Item: 1687, Location ID: _5ICqudHlH54xM1vM1ygzQ_41.884279_-87.661284, lat:41.884279, long:-87.661284, alt282, time(sec): 90.47169327735901
Item: 1688, Location ID: Qxk7uNQ5XX_2soT1Ar08Xg_41.887423_-87.666001, lat:41.887423, long:-87.666001, alt286, time(sec): 86.35295844078064
Item: 1689, Location ID: wCcP2_hngGWARb1GDUHUGg_41.872278_-87.673057, lat:41.872278, long:-87.673057, alt291, time(sec): 92.5936222076416
Item: 1690, Location ID: qKAVyMFDPzLaFtnUR1XTgA_41.894806_-87.632072, lat:41.894806, long:-87.632072, alt283, time(sec): 103.42704176902771
Item: 1691, Location ID: DBqceGR3sb2_eCN0zLLBZw_41.867091_-87.687165, lat:41.867091, long:-87.687165, alt282, time(sec): 81.5119354724884
Item: 1692, Location ID: e2rLvU4IJM0FYjJvDdLFfA_41.877936_-87.620145, lat:41.877936, long:-87.620145, alt283, time(sec): 89.4453444480896
Item: 1693, Location ID: 1bEvK4yQ8NYAcGtXIpsBjg_41.871514_-87.675768, lat:41.871514, long:-87.675768, alt281, time(sec): 87.46635508537292
Item: 1694, Location ID: yoJrt6tnLeZpPuVTVn-ncw_41.885951_-87.638036, lat:41.885951, long:-87.638036, alt276, time(sec): 104.43822240829468
Item: 1695, Location ID: Lxp1Gkn9Q2yNqZiRCzQoWQ_41.891217_-87.675598, lat:41.891217, long:-87.675598, alt282, time(sec): 85.54999542236328
Item: 1696, Location ID: aSEbBToinuZOeWLdIUGmrQ_41.886760_-87.623735, lat:41.88676, long:-87.623735, alt286, time(sec): 110.3439576625824
Item: 1697, Location ID: -EfJvSH06xPCQtpWFu1xHQ_41.855074_-87.664218, lat:41.855074, long:-87.664218, alt282, time(sec): 83.54273128509521
Item: 1698, Location ID: p2zL1s4STbvWAJ-LnF-I0w_41.889461_-87.668047, lat:41.889461, long:-87.668047, alt282, time(sec): 87.43883848190308
Item: 1699, Location ID: eqgkjOJ33pOb51PO-yJ2MQ_41.862539_-87.663761, lat:41.862539, long:-87.663761, alt295, time(sec): 83.43015193939209
Item: 1700, Location ID: CH0wChZLSv-q5MGsarKXxA_41.882210_-87.678383, lat:41.88221, long:-87.678383, alt283, time(sec): 82.50960969924927
Item: 1701, Location ID: ltHAc1eiUdbaldFKWRdoqw_41.883632_-87.641263, lat:41.883632, long:-87.641263, alt288, time(sec): 104.44858455657959
Item: 1702, Location ID: TEciAlomsqk8GLiZcPSa9g_41.870730_-87.663516, lat:41.87073, long:-87.663516, alt282, time(sec): 88.49093699455261
Item: 1703, Location ID: u7g0P8c0l0KneNOr_CWxOA_41.872851_-87.624279, lat:41.872851, long:-87.624279, alt303, time(sec): 97.55513572692871
Item: 1704, Location ID: AIuywv6PQvRzLH5PY6RmMA_41.871828_-87.690157, lat:41.871828, long:-87.690157, alt284, time(sec): 82.38667917251587
Item: 1705, Location ID: KSpy10-lAQ9Jj5g4-r5AfA_41.888977_-87.649453, lat:41.888977, long:-87.649453, alt280, time(sec): 92.47133207321167
Item: 1706, Location ID: lgEqi9mRgo5mVyo3DSWjiw_41.885280_-87.668330, lat:41.88528, long:-87.66833, alt286, time(sec): 84.52426552772522
Item: 1707, Location ID: KUz__VKFOcVBDm9aY3amKQ_41.883228_-87.632886, lat:41.883228, long:-87.632886, alt283, time(sec): 117.4720413684845
Item: 1708, Location ID: wWC74eAe_Qw__EvJmY6NDg_41.875552_-87.622784, lat:41.875552, long:-87.622784, alt291, time(sec): 98.58437466621399
Item: 1709, Location ID: eXR2MHIlVUcsVkGlg0Lj-w_41.871165_-87.650625, lat:41.871165, long:-87.650625, alt295, time(sec): 89.58501815795898
Item: 1710, Location ID: _BqSLMwwk1GvcZriHWopew_41.879981_-87.657394, lat:41.879981, long:-87.657394, alt283, time(sec): 91.49061608314514
Item: 1711, Location ID: PGabWwwH2f4dkVy6T53mCg_41.879578_-87.649648, lat:41.879578, long:-87.649648, alt287, time(sec): 95.53030967712402
Item: 1712, Location ID: PoKZdPWVmG4ROTCWWs76uA_41.875833_-87.640570, lat:41.875833, long:-87.64057, alt288, time(sec): 98.37319946289062
Item: 1713, Location ID: nxTkHXb8TcRNYL7kcqyDjw_41.860180_-87.620814, lat:41.86018, long:-87.620814, alt286, time(sec): 93.59228014945984
Item: 1714, Location ID: L8oRBrijdBS4TQeJ5ui02w_41.885487_-87.675481, lat:41.885487, long:-87.675481, alt282, time(sec): 82.47078514099121
Item: 1715, Location ID: Z9G_u6x599X_vU8lG6FOaA_41.857968_-87.661082, lat:41.857968, long:-87.661082, alt282, time(sec): 85.5957772731781
Item: 1716, Location ID: sZjJTpuesy5kcfWSokgBWw_41.877258_-87.646603, lat:41.877258, long:-87.646603, alt286, time(sec): 95.5143814086914
Item: 1717, Location ID: 8A3qbiXC4x4QOWv81voExQ_41.872042_-87.690635, lat:41.872042, long:-87.690635, alt284, time(sec): 80.52810478210449
Item: 1718, Location ID: rhjOMshqyzuBVBkZoDEZwg_41.875869_-87.622368, lat:41.875869, long:-87.622368, alt289, time(sec): 94.57287096977234
Item: 1719, Location ID: SqrAz0ajKolovUb92h0a2w_41.870528_-87.680566, lat:41.870528, long:-87.680566, alt281, time(sec): 84.44434571266174
Item: 1720, Location ID: 0-wAVy7toxMtzC7dwKXtvA_41.881916_-87.634701, lat:41.881916, long:-87.634701, alt283, time(sec): 119.32326221466064
Item: 1721, Location ID: vCZIWT9UqEorv7pKMpNAgw_41.890593_-87.667817, lat:41.890593, long:-87.667817, alt284, time(sec): 88.69371700286865
Item: 1722, Location ID: 6c2lxeFr1nllJFjNgV4JKA_41.873754_-87.622077, lat:41.873754, long:-87.622077, alt288, time(sec): 91.39062213897705
Item: 1723, Location ID: mwhiOTS8x_82fZ5yyB_v_A_41.859663_-87.663319, lat:41.859663, long:-87.663319, alt285, time(sec): 83.40368366241455
Item: 1724, Location ID: wDFCKt_5vyFqecAOR9MFcQ_41.853789_-87.663619, lat:41.853789, long:-87.663619, alt280, time(sec): 80.60797715187073
Item: 1725, Location ID: mU8GN2LVgMSERpv8jhESwg_41.884141_-87.658188, lat:41.884141, long:-87.658188, alt282, time(sec): 90.54833364486694
Item: 1726, Location ID: TpzZKtQCp-4y_hoX8g5hiQ_41.857701_-87.647314, lat:41.857701, long:-87.647314, alt284, time(sec): 84.71821665763855
Item: 1727, Location ID: GldJhvsJHkheOV7TxwHQpg_41.892565_-87.644430, lat:41.892565, long:-87.64443, alt280, time(sec): 115.44641637802124
Item: 1728, Location ID: LkMpiJrz1yPOytVroSn4QA_41.871077_-87.664759, lat:41.871077, long:-87.664759, alt283, time(sec): 158.32454705238342
Item: 1729, Location ID: t86cempZ8TVjwpxZVaqhxA_41.886519_-87.618951, lat:41.886519, long:-87.618951, alt287, time(sec): 310.25845170021057
Item: 1730, Location ID: Tn_JmcnHJl_vKKso8ljxdw_41.887699_-87.619411, lat:41.887699, long:-87.619411, alt287, time(sec): 402.19059586524963
Item: 1731, Location ID: voQ0uLnOAjY5CalxF7izxQ_41.885776_-87.682507, lat:41.885776, long:-87.682507, alt284, time(sec): 287.17260456085205
Item: 1732, Location ID: nYCGpYtNgr8vWf6dCL4cMg_41.865288_-87.623431, lat:41.865288, long:-87.623431, alt285, time(sec): 514.2023844718933
Item: 1733, Location ID: NYhQm57WQxVoEb0_oyeuMg_41.858316_-87.662985, lat:41.858316, long:-87.662985, alt281, time(sec): 392.19153666496277
Item: 1734, Location ID: fGGmBS9gslQICh2u7c9jWg_41.853185_-87.670491, lat:41.853185, long:-87.670491, alt282, time(sec): 387.19284224510193
Item: 1735, Location ID: IqIfJfE-EnbMU3kNIqC2iQ_41.863654_-87.628450, lat:41.863654, long:-87.62845, alt283, time(sec): 553.2177338600159
