ExpID: 1768622538
Start Location: 1000
Location: Chicago_sat
Number of Location: 1000
StartTime: 2026-01-16 23:02:18.463105

Item: 1000, Location ID: tzzH1opTDd2sVPxCFza03Q_41.878805_-87.644035, lat:41.878805, long:-87.644035, alt2282, time(sec): 15.123999118804932
Item: 1001, Location ID: -YDi31axsLsAff634lELzg_41.866627_-87.621669, lat:41.866627, long:-87.621669, alt2279, time(sec): 15.159464836120605
Item: 1002, Location ID: DWjcg0l97VsyhucjeKpjbA_41.861137_-87.687844, lat:41.861137, long:-87.687844, alt2284, time(sec): 15.138036012649536
Item: 1003, Location ID: wbMOW9i-IYEGP2yOIdZAeQ_41.856016_-87.664349, lat:41.856016, long:-87.664349, alt2283, time(sec): 16.190842390060425
Item: 1004, Location ID: rQGVHeIWRQkKeELqiwEN9g_41.864572_-87.634858, lat:41.864572, long:-87.634858, alt2282, time(sec): 15.194025993347168
Item: 1005, Location ID: NYbwagPqq5fnVHwzo-JWow_41.885820_-87.679712, lat:41.88582, long:-87.679712, alt2281, time(sec): 14.160605669021606
Item: 1006, Location ID: _EiCH0kxKasvTA1A9ZJy4w_41.876966_-87.651856, lat:41.876966, long:-87.651856, alt2282, time(sec): 16.12343120574951
Item: 1007, Location ID: Q7TYAPSdROfdkTMxwCESrw_41.852147_-87.632974, lat:41.852147, long:-87.632974, alt2283, time(sec): 15.150828838348389
Item: 1008, Location ID: s5BSBH4pzy9rIVY5L3j51Q_41.883248_-87.671441, lat:41.883248, long:-87.671441, alt2285, time(sec): 15.147733688354492
Item: 1009, Location ID: caXmFUEID_MCT4ARnv9KxQ_41.889658_-87.680521, lat:41.889658, long:-87.680521, alt2282, time(sec): 14.166539907455444
Item: 1010, Location ID: gPtxDwbj6aYNUgNI9wvGYw_41.894609_-87.673350, lat:41.894609, long:-87.67335, alt2285, time(sec): 16.17933464050293
Item: 1011, Location ID: bsVP1ZqXpbzmXqQP3VQY0w_41.856833_-87.643312, lat:41.856833, long:-87.643312, alt2281, time(sec): 17.11523151397705
Item: 1012, Location ID: MYFGvxi-EQEnOtcubsgEXg_41.857027_-87.623976, lat:41.857027, long:-87.623976, alt2284, time(sec): 16.277946949005127
Item: 1013, Location ID: AtNcWsRPi2UQd_JxVbERWg_41.894800_-87.648919, lat:41.8948, long:-87.648919, alt2285, time(sec): 16.159873485565186
Item: 1014, Location ID: xdg_3XblOJqUaFrLL23o6g_41.882277_-87.658631, lat:41.882277, long:-87.658631, alt2282, time(sec): 16.182796716690063
Item: 1015, Location ID: LGQMCrLyDsWpiYc3HhWfqA_41.856579_-87.631883, lat:41.856579, long:-87.631883, alt2283, time(sec): 14.170702934265137
Item: 1016, Location ID: fhwY4ytEgxSX0LoeEEs-zQ_41.855554_-87.659347, lat:41.855554, long:-87.659347, alt2283, time(sec): 15.216492891311646
Item: 1017, Location ID: oSHWox-HhWRbxAy_xd4EWg_41.879016_-87.660670, lat:41.879016, long:-87.66067, alt2283, time(sec): 15.162926435470581
Item: 1018, Location ID: ztSrYK8opawbrUCd-M_7gQ_41.864906_-87.680810, lat:41.864906, long:-87.68081, alt2284, time(sec): 15.161168813705444
Item: 1019, Location ID: b4FszqZZPsVJTtrij1mHTw_41.862607_-87.646772, lat:41.862607, long:-87.646772, alt2281, time(sec): 15.152288675308228
Item: 1020, Location ID: nHhHk_b_RaQbbrcgF4TNYg_41.878209_-87.620889, lat:41.878209, long:-87.620889, alt2288, time(sec): 17.123159646987915
Item: 1021, Location ID: 3zDyUEGNZAz48krEYoQuxA_41.894498_-87.639999, lat:41.894498, long:-87.639999, alt2291, time(sec): 17.137486696243286
Item: 1022, Location ID: quV7xMfhCxrQiQiDWRrEPw_41.867654_-87.651138, lat:41.867654, long:-87.651138, alt2284, time(sec): 17.193570613861084
Item: 1023, Location ID: oataz7u1IXDQHeyKGuL9mg_41.879316_-87.640021, lat:41.879316, long:-87.640021, alt2311, time(sec): 18.158929347991943
Item: 1024, Location ID: Zv3nJmARefdIzq1BCY3iIw_41.852360_-87.639168, lat:41.85236, long:-87.639168, alt2285, time(sec): 15.139533042907715
Item: 1025, Location ID: Q9wVbwQjhtRXCgQAdR9MAw_41.879183_-87.650128, lat:41.879183, long:-87.650128, alt2287, time(sec): 15.13290548324585
Item: 1026, Location ID: H2jK87UgvzRZi5IJMj_E1g_41.854845_-87.681798, lat:41.854845, long:-87.681798, alt2283, time(sec): 16.138184785842896
Item: 1027, Location ID: nZsKZXbCrE5DlKWZP2yGMw_41.893203_-87.675232, lat:41.893203, long:-87.675232, alt2283, time(sec): 16.16307234764099
Item: 1028, Location ID: OtV16zw1NDbVKWF8R5d29A_41.884496_-87.671859, lat:41.884496, long:-87.671859, alt2283, time(sec): 15.151645183563232
Item: 1029, Location ID: Y-f6b409KVP6uaOodH4LcA_41.893411_-87.631169, lat:41.893411, long:-87.631169, alt2277, time(sec): 19.168843984603882
Item: 1030, Location ID: ph3Zy3vAZVTVkhLehFVWHw_41.878244_-87.654609, lat:41.878244, long:-87.654609, alt2281, time(sec): 14.19049596786499
Item: 1031, Location ID: K3CYi9nM4jT5q_RmrE16hQ_41.868573_-87.664083, lat:41.868573, long:-87.664083, alt2280, time(sec): 17.284423828125
Item: 1032, Location ID: 4iBJuQTxhrtCUT5bz8Paqg_41.867592_-87.672767, lat:41.867592, long:-87.672767, alt2282, time(sec): 16.215067386627197
Item: 1033, Location ID: ZtOW3tWL73qYawknMiA9UA_41.867842_-87.641130, lat:41.867842, long:-87.64113, alt2285, time(sec): 15.19749665260315
Item: 1034, Location ID: mnir5QyLt7LM_N20ROKbKg_41.886295_-87.626314, lat:41.886295, long:-87.626314, alt2281, time(sec): 20.13846492767334
Item: 1035, Location ID: fMUWpfMd7OEY4iagivH6SA_41.885604_-87.673227, lat:41.885604, long:-87.673227, alt2281, time(sec): 14.137525081634521
Item: 1036, Location ID: puXCty--77LaujfOkwzKYQ_41.892818_-87.671443, lat:41.892818, long:-87.671443, alt2282, time(sec): 14.163296222686768
Item: 1037, Location ID: 0YG9wv1mXnpKExNFcpFyvg_41.884299_-87.680216, lat:41.884299, long:-87.680216, alt2283, time(sec): 15.15974473953247
Item: 1038, Location ID: 47_WTKNs-lnUTYNNvR3GEA_41.867924_-87.680294, lat:41.867924, long:-87.680294, alt2287, time(sec): 15.173126459121704
Item: 1039, Location ID: MWNgjSf5AGn_K6kKIoK3Nw_41.894348_-87.690844, lat:41.894348, long:-87.690844, alt2279, time(sec): 16.169255256652832
Item: 1040, Location ID: stI5HER6h45qhg1pFXlsDQ_41.878462_-87.636915, lat:41.878462, long:-87.636915, alt2282, time(sec): 17.139817714691162
Item: 1041, Location ID: I8-nwh2MW3abdmLFT8RHLA_41.855415_-87.674387, lat:41.855415, long:-87.674387, alt2284, time(sec): 16.125210762023926
Item: 1042, Location ID: 8zhn79a1SRT-U0DuoVG4rQ_41.854509_-87.676535, lat:41.854509, long:-87.676535, alt2283, time(sec): 13.170373439788818
Item: 1043, Location ID: jFiOZS1SxG-gO2geZnZpsQ_41.881938_-87.631777, lat:41.881938, long:-87.631777, alt2283, time(sec): 18.171575784683228
Item: 1044, Location ID: pbZYPubdOElVERRJ2gjEiA_41.867326_-87.628702, lat:41.867326, long:-87.628702, alt2282, time(sec): 17.174275875091553
Item: 1045, Location ID: VioSIMSOjW7_MN36oYGX6w_41.881218_-87.640522, lat:41.881218, long:-87.640522, alt2290, time(sec): 15.18056321144104
Item: 1046, Location ID: ZsRClqsq5aVuV5j6mLLXag_41.852670_-87.651456, lat:41.85267, long:-87.651456, alt2279, time(sec): 16.190569639205933
Item: 1047, Location ID: eM-k_3fw1OEVSAc8oEWpkg_41.862202_-87.625762, lat:41.862202, long:-87.625762, alt2284, time(sec): 16.217867136001587
Item: 1048, Location ID: qpq7lPjqtjYJvR4gT0oYmw_41.879621_-87.647250, lat:41.879621, long:-87.64725, alt2287, time(sec): 15.135960578918457
Item: 1049, Location ID: hl03eSnxUVAbdT595b6M4g_41.861919_-87.617431, lat:41.861919, long:-87.617431, alt2290, time(sec): 16.15612268447876
Item: 1050, Location ID: 8WfoR5Y8O1Ar0xBtS3bQtA_41.857676_-87.646619, lat:41.857676, long:-87.646619, alt2282, time(sec): 15.157995700836182
Item: 1051, Location ID: TbVvffD6XmS3iEgmrrnc9A_41.884469_-87.638873, lat:41.884469, long:-87.638873, alt2279, time(sec): 16.146742582321167
Item: 1052, Location ID: y5mf_kKJ-C6IdxzokEBQmQ_41.861353_-87.627244, lat:41.861353, long:-87.627244, alt2285, time(sec): 14.172239542007446
Item: 1053, Location ID: T48udpJacdqBmJBd_efA0A_41.879328_-87.689550, lat:41.879328, long:-87.68955, alt2285, time(sec): 16.159427165985107
Item: 1054, Location ID: UlD71adyr-iKiPOmTFcrKA_41.875630_-87.623873, lat:41.87563, long:-87.623873, alt2292, time(sec): 17.12332320213318
Item: 1055, Location ID: OBtphx-6S861GotdS6bUAQ_41.885201_-87.681667, lat:41.885201, long:-87.681667, alt2286, time(sec): 14.155985832214355
Item: 1056, Location ID: HyWEw-FgCWyhEhO-KaRxmA_41.886764_-87.622820, lat:41.886764, long:-87.62282, alt2288, time(sec): 17.153992414474487
Item: 1057, Location ID: QoZMiRku_qy0TvHIzMnaMQ_41.879467_-87.691133, lat:41.879467, long:-87.691133, alt2285, time(sec): 14.192447900772095
Item: 1058, Location ID: kruMuHZ9GuV42UTsCkRN6Q_41.885255_-87.648238, lat:41.885255, long:-87.648238, alt2284, time(sec): 16.179821729660034
Item: 1059, Location ID: g_mCvnL1pB_qcCFXp8caew_41.868122_-87.617543, lat:41.868122, long:-87.617543, alt2277, time(sec): 15.112638711929321
Item: 1060, Location ID: mkn_r80ikP45Rs_RQoXVHw_41.874536_-87.684410, lat:41.874536, long:-87.68441, alt2282, time(sec): 15.209286451339722
Item: 1061, Location ID: lusIcLxox_SussRMdgEkzA_41.884123_-87.659421, lat:41.884123, long:-87.659421, alt2280, time(sec): 16.15488576889038
Item: 1062, Location ID: KtKpymYx_gU2VWh-w0JPtw_41.876288_-87.626031, lat:41.876288, long:-87.626031, alt2280, time(sec): 15.158663272857666
Item: 1063, Location ID: 3MBYFlPKXkBYhzthZu0gTg_41.868887_-87.631623, lat:41.868887, long:-87.631623, alt2279, time(sec): 15.115692853927612
Item: 1064, Location ID: j6vNEABB6p-PY5HIeANoXA_41.873197_-87.645535, lat:41.873197, long:-87.645535, alt2282, time(sec): 15.171250343322754
Item: 1065, Location ID: YzIIosb-MU_HKeZ0QB3E1A_41.885689_-87.644729, lat:41.885689, long:-87.644729, alt2287, time(sec): 14.15918755531311
Item: 1066, Location ID: G1GDpDcAIncELpb3OJI4oA_41.885090_-87.634565, lat:41.88509, long:-87.634565, alt2283, time(sec): 16.197103023529053
Item: 1067, Location ID: z6SuiVcUsYI5gFHK1i7XUg_41.880671_-87.690033, lat:41.880671, long:-87.690033, alt2284, time(sec): 14.22429084777832
Item: 1068, Location ID: FObBOWlXGEDdbLvhJ72E-w_41.865096_-87.666928, lat:41.865096, long:-87.666928, alt2283, time(sec): 15.13318681716919
Item: 1069, Location ID: 7AefvcoYRp4q8fl3fgU1sw_41.873205_-87.680962, lat:41.873205, long:-87.680962, alt2279, time(sec): 14.228919744491577
Item: 1070, Location ID: 23m2RP40p5K4ebBqpyd9eQ_41.855959_-87.672931, lat:41.855959, long:-87.672931, alt2286, time(sec): 15.139464378356934
Item: 1071, Location ID: 3ybwB1ntSMn-wcgdB7SqKA_41.857556_-87.663242, lat:41.857556, long:-87.663242, alt2282, time(sec): 16.206804037094116
Item: 1072, Location ID: 1UPAC0rL38eBs8wSWKlSyQ_41.868999_-87.655616, lat:41.868999, long:-87.655616, alt2286, time(sec): 16.151288747787476
Item: 1073, Location ID: EFJj3WRjSmD9pAT6QCO3SQ_41.875295_-87.618555, lat:41.875295, long:-87.618555, alt2281, time(sec): 14.174602746963501
Item: 1074, Location ID: w0kJ6Rgbv0KJxiNcf9kl6Q_41.859127_-87.669476, lat:41.859127, long:-87.669476, alt2282, time(sec): 14.146368980407715
Item: 1075, Location ID: JaCsm_8H0IgWYR8Hl9dcIA_41.884672_-87.647412, lat:41.884672, long:-87.647412, alt2277, time(sec): 14.114418506622314
Item: 1076, Location ID: x8grGzk-quZSznvFW_0BvQ_41.863823_-87.618689, lat:41.863823, long:-87.618689, alt2285, time(sec): 15.161259412765503
Item: 1077, Location ID: hd2gJjOC5OqU342g6s8Mag_41.873891_-87.687665, lat:41.873891, long:-87.687665, alt2280, time(sec): 14.229629278182983
Item: 1078, Location ID: zVGuKOjooTzN2J2OXW4dCg_41.883801_-87.639754, lat:41.883801, long:-87.639754, alt2294, time(sec): 15.166570901870728
Item: 1079, Location ID: uW0Sa5PCQDxAfHiN3COj1A_41.864615_-87.629396, lat:41.864615, long:-87.629396, alt2282, time(sec): 15.145077228546143
Item: 1080, Location ID: Ezl7LiN8NtYnYlQVDRUI8g_41.868444_-87.655982, lat:41.868444, long:-87.655982, alt2285, time(sec): 14.179756164550781
Item: 1081, Location ID: KgrukfiZihcImNcQiRE8kQ_41.891901_-87.628048, lat:41.891901, long:-87.628048, alt2308, time(sec): 18.118266105651855
Item: 1082, Location ID: XiP_XYsRxM0E_FSAaynQqg_41.891546_-87.677320, lat:41.891546, long:-87.67732, alt2283, time(sec): 15.329017877578735
Item: 1083, Location ID: 5q9wm22ZKfVHvId0EYM9pw_41.893231_-87.673450, lat:41.893231, long:-87.67345, alt2283, time(sec): 15.217472314834595
Item: 1084, Location ID: e6cxBNeWESr0ZOv1_nob5A_41.871271_-87.678935, lat:41.871271, long:-87.678935, alt2281, time(sec): 14.14457106590271
